Column1,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
0,5081.0,MN,MN,27.0,55735,5.0,1.0,1.0,3.0,N, ,2,4.0,41,930.0,930.0,12088.0,12288.0,2.2,9.7,1146.49919,1.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.8329091229351041
1,5082.0,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, ,5,2.0,40,1615.0,1615.0,11888.0,12088.0,2.2,14.5,471.36622300000005,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.8329091229351041
2,5083.0,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, ,3,2.0,42,1030.0,1515.0,20288.0,21188.0,2.9,9.6,433.316718,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,1.0986122886681098
3,5084.0,MN,MN,27.0,56469,5.0,1.0,0.0,4.0,Y, ,2,2.0,24,1410.0,1410.0,122987.0,123187.0,1.0,24.3,461.62367,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.09531017980432493
66,5147.0,MN,MN,27.0,56329,5.0,1.0,0.0,2.0,Y, ,4,4.0,45,930.0,940.0,13188.0,20288.0,6.6,4.6,1177.377355,0.0,0.0,9.0,BENTON,27009.0,0.866849,4,1.9021075263969203
67,5148.0,MN,MN,27.0,56379,5.0,1.0,0.0,4.0,Y, ,5,3.0,40,1110.0,2130.0,11888.0,12088.0,2.7,9.8,893.2374300000001,0.0,0.0,9.0,BENTON,27009.0,0.866849,4,1.0296194171811583
68,5149.0,MN,MN,27.0,56379,5.0,1.0,1.0,3.0,N, ,2,3.0,4,1830.0,1830.0,22888.0,30388.0,2.9,11.4,921.864905,0.0,0.0,9.0,BENTON,27009.0,0.866849,4,1.0986122886681098
69,5150.0,MN,MN,27.0,56379,5.0,1.0,0.0,4.0,Y, ,4,3.0,4,1500.0,1500.0,22888.0,30388.0,2.9,7.3,990.4115539999999,0.0,0.0,9.0,BENTON,27009.0,0.866849,4,1.0986122886681098
70,5151.0,MN,MN,27.0,56225,5.0,1.0,0.0,4.0,Y, ,1,4.0,21,1300.0,710.0,120287.0,121187.0,7.2,5.3,1088.985661,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,1.9878743481543455
71,5152.0,MN,MN,27.0,56225,5.0,1.0,0.0,4.0,Y, ,4,4.0,36,1400.0,1400.0,122887.0,123087.0,5.0,7.3,1177.377355,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,1.62924053973028
72,5153.0,MN,MN,27.0,56225,5.0,1.0,0.0,5.0,Y, ,5,4.0,4,2300.0,615.0,30388.0,30388.0,2.6,9.3,1105.956867,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,0.9932517730102834
87,5168.0,MN,MN,27.0,56073,4.0,1.0,1.0,0.0,Y, ,2,3.0,33,715.0,715.0,122987.0,123187.0,2.5,9.8,921.864905,0.0,0.0,15.0,BROWN,27015.0,1.3199299999999998,7,0.9555114450274363
