Column1,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
70,5151.0,MN,MN,27.0,56225,5.0,1.0,0.0,4.0,Y, ,1,4.0,21,1300.0,710.0,120287.0,121187.0,7.2,5.3,1088.985661,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,1.9878743481543455
71,5152.0,MN,MN,27.0,56225,5.0,1.0,0.0,4.0,Y, ,4,4.0,36,1400.0,1400.0,122887.0,123087.0,5.0,7.3,1177.377355,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,1.62924053973028
72,5153.0,MN,MN,27.0,56225,5.0,1.0,0.0,5.0,Y, ,5,4.0,4,2300.0,615.0,30388.0,30388.0,2.6,9.3,1105.956867,0.0,0.0,11.0,BIG STONE,27011.0,1.47264,5,0.9932517730102834
112,5193.0,MN,MN,27.0,56222,5.0,1.0,0.0,2.0,Y, ,1,4.0,32,1430.0,1130.0,10188.0,10188.0,7.7,3.9,1088.985661,0.0,0.0,23.0,CHIPPEWA,27023.0,1.3148,11,2.0541237336955462
113,5194.0,MN,MN,27.0,56265,5.0,1.0,0.0,2.0,Y, ,5,4.0,25,1700.0,1700.0,122687.0,122887.0,1.4,14.0,1105.956867,0.0,0.0,23.0,CHIPPEWA,27023.0,1.3148,11,0.4054651081081644
114,5195.0,MN,MN,27.0,56265,5.0,1.0,0.0,2.0,Y, ,2,4.0,43,1000.0,1000.0,12188.0,12488.0,10.0,3.2,1146.49919,0.0,0.0,23.0,CHIPPEWA,27023.0,1.3148,11,2.312535423847214
115,5196.0,MN,MN,27.0,56265,5.0,1.0,0.0,4.0,Y, ,1,4.0,4,1330.0,1345.0,22788.0,22988.0,9.4,3.7,1088.985661,0.0,0.0,23.0,CHIPPEWA,27023.0,1.3148,11,2.2512917986064953
375,5456.0,MN,MN,27.0,56461,2.0,1.0,1.0,1.0,Y, ,4,3.0,35,700.0,700.0,11388.0,11588.0,2.8,10.8,990.4115539999999,0.0,0.0,57.0,HUBBARD,27057.0,0.66992,27,1.0647107369924282
376,5457.0,MN,MN,27.0,56467,2.0,1.0,1.0,1.0,Y, ,1,3.0,33,900.0,900.0,122087.0,122287.0,0.8,21.1,1024.442902,0.0,0.0,57.0,HUBBARD,27057.0,0.66992,27,-0.10536051565782628
377,5458.0,MN,MN,27.0,56601,2.0,1.0,0.0,2.0,Y, ,3,3.0,26,1830.0,1840.0,121487.0,121687.0,1.5,19.2,1071.318034,0.0,0.0,57.0,HUBBARD,27057.0,0.66992,27,0.47000362924573563
378,5459.0,MN,MN,27.0,56633,2.0,1.0,0.0,4.0,Y, ,3,3.0,40,2230.0,2230.0,12388.0,12588.0,4.6,5.7,1071.318034,0.0,0.0,57.0,HUBBARD,27057.0,0.66992,27,1.5475625087160128
379,5460.0,MN,MN,27.0,56633,2.0,1.0,1.0,2.0,N, ,2,3.0,47,1600.0,1600.0,20288.0,20288.0,3.7,7.0,921.864905,0.0,0.0,57.0,HUBBARD,27057.0,0.66992,27,1.3350010667323402
394,5475.0,MN,MN,27.0,56119,5.0,1.0,0.0,4.0,Y, ,2,4.0,49,1715.0,1447.0,21888.0,22188.0,8.4,3.6,1146.49919,0.0,0.0,63.0,JACKSON,27063.0,1.36209,30,2.1400661634962708
395,5476.0,MN,MN,27.0,56137,5.0,1.0,0.0,4.0,Y, ,4,4.0,41,2000.0,2000.0,11888.0,12088.0,5.0,6.4,1177.377355,0.0,0.0,63.0,JACKSON,27063.0,1.36209,30,1.62924053973028
396,5477.0,MN,MN,27.0,56143,5.0,1.0,0.0,3.0,Y, ,3,4.0,22,900.0,900.0,121887.0,122187.0,2.9,7.6,1214.922779,0.0,0.0,63.0,JACKSON,27063.0,1.36209,30,1.0986122886681098
397,5478.0,MN,MN,27.0,56143,5.0,1.0,0.0,4.0,Y, ,4,4.0,49,1600.0,1750.0,20288.0,20288.0,13.1,3.2,1177.377355,0.0,0.0,63.0,JACKSON,27063.0,1.36209,30,2.580216829592325
398,5479.0,MN,MN,27.0,56150,5.0,1.0,0.0,7.0,Y, ,1,4.0,33,1300.0,1300.0,122787.0,122987.0,15.3,3.9,1088.985661,0.0,0.0,63.0,JACKSON,27063.0,1.36209,30,2.7343675094195836
407,5488.0,MN,MN,27.0,56733,2.0,1.0,0.0,4.0,Y, ,2,1.0,43,1800.0,1800.0,11988.0,12188.0,6.9,5.0,348.042925,0.0,0.0,69.0,KITTSON,27069.0,0.9922270000000001,33,1.9459101490553132
408,5489.0,MN,MN,27.0,56734,2.0,1.0,1.0,3.0,Y, ,5,1.0,48,1330.0,1330.0,20288.0,20288.0,4.5,7.0,348.042925,0.0,0.0,69.0,KITTSON,27069.0,0.9922270000000001,33,1.5260563034950492
409,5490.0,MN,MN,27.0,56743,2.0,1.0,1.0,2.0,N, ,4,1.0,29,1847.0,2230.0,121987.0,122187.0,0.9,36.2,464.057234,0.0,0.0,69.0,KITTSON,27069.0,0.9922270000000001,33,0.0
410,5491.0,MN,MN,27.0,56649,2.0,1.0,0.0,4.0,Y, ,5,2.0,26,2130.0,2235.0,121387.0,121587.0,1.7,19.4,471.36622300000005,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.5877866649021191
411,5492.0,MN,MN,27.0,56649,2.0,1.0,0.0,4.0,Y, ,3,2.0,35,1540.0,700.0,10188.0,10188.0,1.4,16.6,433.316718,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.4054651081081644
412,5493.0,MN,MN,27.0,56649,2.0,1.0,1.0,3.0,N, ,1,2.0,30,700.0,700.0,122887.0,123087.0,2.0,16.4,485.435931,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.7419373447293773
413,5494.0,MN,MN,27.0,56649,2.0,1.0,1.0,3.0,N, ,4,2.0,1,1230.0,1230.0,22388.0,22588.0,1.0,25.2,461.274696,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.09531017980432493
414,5495.0,MN,MN,27.0,56653,2.0,1.0,0.0,2.0,Y, ,3,2.0,24,1630.0,1630.0,121687.0,121887.0,1.0,24.3,433.316718,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.09531017980432493
415,5496.0,MN,MN,27.0,56660,2.0,1.0,1.0,3.0,N, ,3,2.0,34,1000.0,1000.0,122287.0,122487.0,2.8,10.0,433.316718,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,1.0647107369924282
416,5497.0,MN,MN,27.0,56679,2.0,1.0,1.0,2.0,N, ,2,2.0,43,940.0,940.0,12788.0,12988.0,1.3,16.3,461.62367,0.0,0.0,71.0,KOOCHICHING,27071.0,0.414025,34,0.336472236621213
441,5522.0,MN,MN,27.0,56115,5.0,1.0,0.0,4.0,Y, ,1,4.0,23,1945.0,2230.0,21688.0,21888.0,6.5,7.4,1088.985661,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.8870696490323797
442,5523.0,MN,MN,27.0,56175,5.0,1.0,1.0,3.0,N, ,2,4.0,29,1100.0,1100.0,121687.0,121887.0,6.9,5.1,1146.49919,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.9459101490553132
443,5524.0,MN,MN,27.0,56175,5.0,1.0,0.0,7.0,Y, ,4,4.0,31,1100.0,1100.0,122387.0,122587.0,5.1,5.1,1177.377355,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.6486586255873816
444,5525.0,MN,MN,27.0,56258,5.0,1.0,0.0,4.0,Y, ,3,4.0,21,1700.0,1700.0,120287.0,121087.0,12.0,3.9,1214.922779,0.0,0.0,83.0,LYON,27083.0,1.48399,40,2.4932054526026954
445,5526.0,MN,MN,27.0,56258,5.0,1.0,0.0,4.0,Y, ,2,4.0,26,2000.0,2000.0,121387.0,121587.0,5.1,8.3,1146.49919,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.6486586255873816
446,5527.0,MN,MN,27.0,56258,5.0,1.0,0.0,2.0,Y, ,1,4.0,1,1900.0,2100.0,30388.0,30388.0,8.9,5.3,1088.985661,0.0,0.0,83.0,LYON,27083.0,1.48399,40,2.1972245773362196
447,5528.0,MN,MN,27.0,56258,5.0,1.0,0.0,2.0,Y, ,5,4.0,1,1100.0,1102.0,22588.0,22788.0,5.8,4.8,1105.956867,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.7749523509116736
448,5529.0,MN,MN,27.0,56264,5.0,1.0,0.0,4.0,Y, ,1,4.0,28,1600.0,1558.0,121687.0,121887.0,4.6,6.2,1088.985661,0.0,0.0,83.0,LYON,27083.0,1.48399,40,1.5475625087160128
450,5531.0,MN,MN,27.0,56701,2.0,1.0,1.0,3.0,N, ,4,4.0,2,2250.0,2253.0,22588.0,22788.0,1.5,14.1,1177.377355,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,0.47000362924573563
451,5532.0,MN,MN,27.0,56710,2.0,1.0,0.0,4.0,Y, ,2,1.0,47,1220.0,1226.0,12688.0,12888.0,23.8,2.2,348.042925,2.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,3.173878458937465
452,5533.0,MN,MN,27.0,56727,2.0,5.0,1.0,3.0,N, ,5,1.0,23,1500.0,1500.0,123087.0,10188.0,0.9,29.7,348.042925,1.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,0.0
453,5534.0,MN,MN,27.0,56738,2.0,1.0,1.0,3.0,N, ,3,1.0,2,1330.0,1330.0,22488.0,22688.0,1.4,15.6,348.042925,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,0.4054651081081644
454,5535.0,MN,MN,27.0,56738,2.0,1.0,1.0,3.0,Y, ,2,1.0,3,1300.0,1315.0,22688.0,22888.0,1.1,16.1,348.042925,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,0.1823215567939548
455,5536.0,MN,MN,27.0,56757,2.0,1.0,0.0,2.0,Y, ,1,1.0,39,1900.0,1945.0,11788.0,11988.0,2.8,12.9,507.56259900000003,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,1.0647107369924282
456,5537.0,MN,MN,27.0,56757,2.0,1.0,0.0,4.0,Y, ,2,1.0,4,1800.0,1515.0,22388.0,22588.0,48.2,1.8,348.042925,2.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,3.8774315606585272
457,5538.0,MN,MN,27.0,56762,2.0,1.0,1.0,3.0,Y, ,1,1.0,35,1815.0,1815.0,122887.0,123087.0,0.9,30.7,507.56259900000003,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,0.0
458,5539.0,MN,MN,27.0,56762,2.0,1.0,0.0,4.0,Y, ,5,1.0,47,800.0,1300.0,41288.0,41488.0,8.3,4.2,348.042925,0.0,0.0,89.0,MARSHALL,27089.0,1.01386,42,2.128231705849268
466,5547.0,MN,MN,27.0,55336,5.0,1.0,0.0,2.0,Y, ,4,3.0,34,1630.0,1630.0,122687.0,122887.0,10.3,3.7,990.4115539999999,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,2.341805806147327
467,5548.0,MN,MN,27.0,55336,5.0,1.0,0.0,0.0,Y, ,3,3.0,41,600.0,600.0,11988.0,12188.0,3.9,8.3,1071.318034,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,1.3862943611198906
468,5549.0,MN,MN,27.0,55336,5.0,1.0,0.0,4.0,Y, ,2,3.0,44,1200.0,1500.0,12188.0,12388.0,1.8,31.1,921.864905,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,0.6418538861723948
469,5550.0,MN,MN,27.0,55336,5.0,1.0,0.0,4.0,Y, ,1,3.0,45,1230.0,1230.0,12688.0,12888.0,9.9,6.4,1024.442902,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,2.302585092994046
470,5551.0,MN,MN,27.0,55336,5.0,1.0,0.0,4.0,Y, ,5,3.0,3,900.0,900.0,22488.0,22688.0,2.3,12.0,893.2374300000001,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,0.8754687373538999
471,5552.0,MN,MN,27.0,55350,5.0,1.0,0.0,2.0,Y, ,2,3.0,30,0.0,0.0,122087.0,122287.0,4.4,11.0,921.864905,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,1.5040773967762742
472,5553.0,MN,MN,27.0,55350,5.0,1.0,0.0,4.0,Y, ,5,3.0,34,1630.0,1630.0,122287.0,122487.0,2.8,9.9,893.2374300000001,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,1.0647107369924282
473,5554.0,MN,MN,27.0,55350,5.0,1.0,1.0,3.0,Y, ,3,3.0,30,1530.0,1500.0,11088.0,11288.0,1.1,35.3,1071.318034,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,0.1823215567939548
474,5555.0,MN,MN,27.0,55350,5.0,1.0,0.0,4.0,Y, ,1,3.0,35,1300.0,1300.0,122787.0,123087.0,1.2,18.2,1024.442902,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,0.26236426446749106
475,5556.0,MN,MN,27.0,55350,5.0,2.0,1.0,3.0,Y, ,3,3.0,38,800.0,900.0,11488.0,11688.0,1.6,34.4,1071.318034,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,0.5306282510621705
476,5557.0,MN,MN,27.0,55350,5.0,1.0,1.0,3.0,Y, ,4,3.0,39,1100.0,1100.0,11788.0,11988.0,25.4,2.0,990.4115539999999,2.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,3.2386784521643803
477,5558.0,MN,MN,27.0,55350,5.0,1.0,1.0,3.0,Y, ,4,3.0,43,1809.0,1700.0,12088.0,12288.0,0.0,0.0,990.4115539999999,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,-2.3025850929940455
478,5559.0,MN,MN,27.0,55350,5.0,1.0,0.0,4.0,Y, ,4,3.0,1,800.0,815.0,31088.0,31288.0,10.6,3.8,990.4115539999999,0.0,0.0,85.0,MCLEOD,27085.0,1.15076,44,2.3702437414678603
484,5565.0,MN,MN,27.0,55371,5.0,1.0,1.0,3.0,Y, ,4,4.0,21,800.0,800.0,121487.0,121687.0,0.5,54.1,1177.377355,0.0,0.0,95.0,MILLE LACS,27095.0,0.8105359999999999,46,-0.5108256237659907
485,5566.0,MN,MN,27.0,56358,5.0,1.0,0.0,0.0,Y, ,2,4.0,37,1700.0,1700.0,122787.0,122987.0,5.7,8.2,1146.49919,0.0,0.0,95.0,MILLE LACS,27095.0,0.8105359999999999,46,1.7578579175523736
495,5576.0,MN,MN,27.0,55909,4.0,1.0,0.0,4.0,Y, ,3,3.0,49,1915.0,2030.0,20288.0,20288.0,10.9,4.0,1071.318034,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,2.3978952727983707
496,5577.0,MN,MN,27.0,55912,4.0,1.0,0.0,2.0,Y, ,1,3.0,29,2100.0,2100.0,121687.0,121887.0,6.4,6.9,1024.442902,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,1.8718021769015913
497,5578.0,MN,MN,27.0,55912,4.0,1.0,0.0,4.0,Y, ,3,3.0,30,1330.0,1500.0,121987.0,122187.0,2.0,10.9,1071.318034,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,0.7419373447293773
498,5579.0,MN,MN,27.0,55912,4.0,1.0,0.0,4.0,Y, ,1,3.0,35,1900.0,1900.0,122887.0,123087.0,3.0,10.9,1024.442902,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,1.1314021114911006
499,5580.0,MN,MN,27.0,55912,4.0,1.0,0.0,0.0,Y, ,5,3.0,42,1400.0,1400.0,11688.0,11888.0,4.5,6.0,893.2374300000001,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,1.5260563034950492
500,5581.0,MN,MN,27.0,55912,4.0,1.0,0.0,2.0,Y, ,5,3.0,50,1845.0,645.0,22188.0,22388.0,2.1,12.8,893.2374300000001,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,0.7884573603642703
501,5582.0,MN,MN,27.0,55912,4.0,0.0,0.0,0.0, , ,1,3.0,4,1800.0,1800.0,22688.0,22888.0,8.0,4.1,1024.442902,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,2.0918640616783932
502,5583.0,MN,MN,27.0,55917,4.0,1.0,1.0,2.0,Y, ,2,3.0,23,1130.0,1230.0,121187.0,121387.0,1.3,18.5,921.864905,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,0.336472236621213
503,5584.0,MN,MN,27.0,55918,4.0,1.0,0.0,4.0,Y, ,5,3.0,33,630.0,630.0,122987.0,123187.0,9.2,4.9,893.2374300000001,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,2.23001440015921
504,5585.0,MN,MN,27.0,55936,4.0,1.0,1.0,3.0,Y, ,1,3.0,33,1300.0,1300.0,122287.0,122487.0,1.1,26.9,1024.442902,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,0.1823215567939548
505,5586.0,MN,MN,27.0,55936,4.0,1.0,0.0,4.0,Y, ,2,3.0,2,900.0,1130.0,30388.0,31088.0,10.6,4.0,921.864905,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,2.3702437414678603
506,5587.0,MN,MN,27.0,55967,4.0,1.0,0.0,7.0,Y, ,5,3.0,29,1625.0,1700.0,121787.0,122087.0,24.0,2.2,893.2374300000001,2.0,0.0,99.0,MOWER,27099.0,1.29814,48,3.1822118404966093
507,5588.0,MN,MN,27.0,55982,4.0,1.0,0.0,4.0,Y, ,2,3.0,1,1030.0,1030.0,22788.0,22988.0,9.1,3.4,921.864905,0.0,0.0,99.0,MOWER,27099.0,1.29814,48,2.2192034840549946
542,5623.0,MN,MN,27.0,56515,2.0,1.0,0.0,4.0,Y, ,2,3.0,29,1230.0,1230.0,122587.0,122887.0,2.7,27.4,921.864905,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,1.0296194171811583
543,5624.0,MN,MN,27.0,56515,2.0,1.0,1.0,3.0,N, ,3,3.0,35,700.0,700.0,21988.0,22188.0,1.1,49.1,1071.318034,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,0.1823215567939548
544,5625.0,MN,MN,27.0,56537,2.0,1.0,1.0,3.0,Y, ,5,3.0,30,2030.0,2230.0,21088.0,21288.0,2.1,18.7,893.2374300000001,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,0.7884573603642703
545,5626.0,MN,MN,27.0,56537,2.0,1.0,0.0,4.0,Y, ,5,3.0,46,2100.0,2110.0,20288.0,20288.0,12.0,3.1,893.2374300000001,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,2.4932054526026954
546,5627.0,MN,MN,27.0,56567,2.0,1.0,1.0,3.0,N, ,2,3.0,32,800.0,800.0,122887.0,123087.0,12.6,3.7,921.864905,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,2.5416019934645457
547,5628.0,MN,MN,27.0,56572,2.0,1.0,0.0,4.0,Y, ,3,3.0,24,700.0,700.0,121387.0,121587.0,3.2,7.0,1071.318034,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,1.1939224684724346
548,5629.0,MN,MN,27.0,56586,2.0,1.0,0.0,4.0,Y, ,1,3.0,38,900.0,900.0,122887.0,123087.0,4.2,7.6,1024.442902,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,1.4586150226995167
549,5630.0,MN,MN,27.0,56588,2.0,1.0,0.0,7.0,Y, ,1,3.0,40,645.0,745.0,12188.0,12388.0,3.8,8.7,1024.442902,0.0,0.0,111.0,OTTER TAIL,27111.0,0.814867,54,1.3609765531356006
559,5640.0,MN,MN,27.0,56144,5.0,1.0,0.0,4.0,Y, ,1,3.0,22,740.0,746.0,120287.0,121187.0,9.4,4.4,1024.442902,0.0,0.0,117.0,PIPESTONE,27117.0,1.61382,57,2.2512917986064953
560,5641.0,MN,MN,27.0,56164,5.0,2.0,0.0,4.0,Y, ,5,3.0,23,1025.0,1025.0,121287.0,121487.0,1.7,11.6,893.2374300000001,0.0,0.0,117.0,PIPESTONE,27117.0,1.61382,57,0.5877866649021191
561,5642.0,MN,MN,27.0,56164,5.0,2.0,0.0,4.0,Y, ,2,3.0,31,1845.0,1844.0,10188.0,10188.0,12.1,3.3,921.864905,0.0,0.0,117.0,PIPESTONE,27117.0,1.61382,57,2.501435951739211
